theme,sub_theme,topic,geography_type,geography,metric,sex,age,stratum,year,date,metric_value
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2024,15/03/2024,109
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2024,08/03/2024,157
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2024,01/03/2024,185
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2024,23/02/2024,218
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2024,16/02/2024,255
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2024,09/02/2024,316
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2024,02/02/2024,331
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2024,26/01/2024,341
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2024,19/01/2024,374
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2024,12/01/2024,376
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2024,05/01/2024,292
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,29/12/2023,161
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,22/12/2023,249
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,15/12/2023,221
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,08/12/2023,167
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,01/12/2023,163
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,24/11/2023,162
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,17/11/2023,239
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,10/11/2023,291
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,03/11/2023,309
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,27/10/2023,297
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,20/10/2023,287
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,13/10/2023,318
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,06/10/2023,233
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,29/09/2023,203
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,22/09/2023,241
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,15/09/2023,229
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,08/09/2023,197
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,01/09/2023,136
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,25/08/2023,178
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,18/08/2023,115
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,11/08/2023,101
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,04/08/2023,65
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,28/07/2023,55
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,21/07/2023,61
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,14/07/2023,73
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,07/07/2023,91
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,30/06/2023,122
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,23/06/2023,141
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,16/06/2023,148
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,09/06/2023,195
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,02/06/2023,175
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,26/05/2023,251
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,19/05/2023,304
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,12/05/2023,283
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,05/05/2023,286
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,28/04/2023,436
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,21/04/2023,508
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,14/04/2023,439
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,07/04/2023,484
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,31/03/2023,599
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,24/03/2023,584
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,17/03/2023,512
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,10/03/2023,521
infectious_disease,respiratory,COVID-19,Nation,England,COVID-19_deaths_ONSRegByWeek,all,all,default,2023,03/03/2023,499
